rank,youtuber,subscribers,video_views,category,title,uploads,country,abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_month,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_month,created_year,created_month,created_date,gross_tertiary_education_enrollment_percent,population,unemployment_rate,urban_population,latitude,longitude
528,El Reino a Jugar,17200000,11445492404,Education,El Reino a Jugar,1007,Argentina,AR,Education,353.0,11.0,28.0,83709000.0,20900,334800,251100,4000000,100000.0,2015.0,Mar,3.0,90.0,44938712.0,9.79,41339571.0,-38.416097,-63.616672
529,Willyrex,17200000,5024088947,Gaming,Willyrex,7550,Spain,ES,Games,1359.0,9.0,38.0,15405000.0,3900,61600,46200,739500,,2009.0,Aug,9.0,88.9,47076781.0,13.96,37927409.0,40.463667,-3.74922
530,TheBrianMaps,17100000,4448334716,Comedy,TheBrianMaps,498,Russia,RU,Entertainment,1624.0,6.0,126.0,37164000.0,9300,148700,111500,1800000,100000.0,2012.0,Jun,4.0,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756
531,TRANS TV Official,17100000,9710962528,Entertainment,TRANS TV Official,148225,Indonesia,ID,Entertainment,472.0,18.0,127.0,45811000.0,11500,183200,137400,2200000,100000.0,2014.0,Sep,2.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
532,Liza Koshy,17100000,2173106162,Comedy,Liza Koshy,142,United States,US,Entertainment,4443.0,132.0,127.0,1761000.0,440,7000,5300,84500,,2013.0,Sep,2.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
533,Queen Official,17000000,10847948832,Music,Queen Official,1015,United Kingdom,GB,Music,385.0,21.0,112.0,93768000.0,23400,375100,281300,4500000,100000.0,2008.0,Jul,7.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
534,Prajapati News,17000000,1001465469,Comedy,Prajapati News,1407,India,IN,Entertainment,11662.0,89.0,128.0,7626000.0,1900,30500,22900,366100,100000.0,2013.0,Mar,14.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
535,Gaby and Alex,17000000,8229883114,Entertainment,gabyandalex,1,,,People,4057752.0,,7732.0,,0,0,0,0,,2008.0,Aug,21.0,,,,,,
536,LuisFonsiVEVO,17000000,14543594822,Music,LuisFonsiVEVO,97,United States,US,Music,241.0,133.0,112.0,49817000.0,12500,199300,149500,2400000,,2009.0,May,12.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
537,Pop Chartbusters,16900000,8684010451,Music,Pop Chartbusters,2235,India,IN,Music,574.0,90.0,113.0,72911000.0,18200,291600,218700,3500000,200000.0,2011.0,Aug,26.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
538,Guava Juice,16900000,9111000228,Gaming,Guava Juice,1910,United States,US,Entertainment,527.0,134.0,129.0,10889000.0,2700,43600,32700,522600,,2006.0,Jul,18.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
539,EeOneGuy,16900000,3827906874,Entertainment,EeOneGuy,366,United States,US,Entertainment,2039.0,134.0,129.0,1635000.0,409,6500,4900,78500,,2013.0,Mar,19.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
540,VICE,16900000,4609753237,Entertainment,VICE,3900,United States,US,Entertainment,1543.0,134.0,129.0,36357000.0,9100,145400,109100,1700000,100000.0,2005.0,Dec,16.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
541,Aayu and Pihu Show,16900000,9270331567,Comedy,Aayu and Pihu Show,441,India,IN,People,510.0,90.0,34.0,89782000.0,22400,359100,269300,4300000,,2017.0,May,8.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
542,Danny Fitt,16900000,9544277833,People & Blogs,Danny Fitt,2337,United States,US,Entertainment,488.0,134.0,129.0,275264000.0,68800,1100000,825800,13200000,700000.0,2016.0,Dec,31.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
543,Bispo Bruno Leonardo,16900000,3523578665,Nonprofits & Activism,Bispo Bruno Leonardo,4891,Brazil,BR,Nonprofit,2307.0,29.0,2.0,149543000.0,37400,598200,448600,7200000,400000.0,2016.0,Apr,10.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
544,DeToxoMoroxo,16800000,2315962318,Entertainment,de toxomoroxo,1,,,Music,4056488.0,,5767.0,,0,0,0,0,,2016.0,Apr,30.0,,,,,,
545,Doggy Doggy Cartoons,16800000,6518418501,Entertainment,Doggy Doggy Cartoons,0,,,,4057944.0,,,,0,0,0,0,,2018.0,Nov,11.0,,,,,,
546,deepesh zo,16800000,7206462713,People & Blogs,deepesh zo,41,,,People,4038822.0,,7611.0,1.0,0,0,0,0,1.0,2021.0,Sep,24.0,,,,,,
547,Like Nastya IDN,16800000,7195314800,Entertainment,Like Nastya IDN,502,Indonesia,ID,Entertainment,795.0,19.0,130.0,42836000.0,10700,171300,128500,2100000,100000.0,2019.0,Nov,22.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
548,Gato Galactico | GAL��,16800000,3693798804,Film & Animation,Gato Galactico | GAL��,1491,Brazil,BR,Entertainment,2129.0,30.0,130.0,44121000.0,11000,176500,132400,2100000,100000.0,2013.0,Apr,2.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
549,Salman Noman,16700000,10393037902,Entertainment,salman Noman,3,,,,4057674.0,,,7.0,0,0,0,0,10.0,2022.0,May,14.0,,,,,,
550,CoryxKenshin,16700000,7102965621,Gaming,CoryxKenshin,1693,United States,US,Games,814.0,135.0,39.0,105114000.0,26300,420500,315300,5000000,200000.0,2009.0,Apr,27.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
551,With Kids[�����,16700000,8826138204,Entertainment,With Kids[�����,920,United States,US,Entertainment,559.0,135.0,130.0,45698000.0,11400,182800,137100,2200000,100000.0,2012.0,Jul,6.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
552,Travis Scott,16700000,7979736581,Music,Travis Scott,13,United States,US,Music,564542.0,1920.0,1751.0,37623.0,9,150,113,1800,,2010.0,Sep,1.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
553,Tu COSMOPOLIS,16700000,5089284369,People & Blogs,Tu COSMOPOLIS,8741,Mexico,MX,People,1337.0,19.0,35.0,16139000.0,4000,64600,48400,774700,,2014.0,Aug,28.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
554,Ivana Alawi,16600000,1318442641,,Ivana Alawi,180,Philippines,PH,People,8338.0,5.0,36.0,15079000.0,3800,60300,45200,723800,100000.0,2018.0,Jun,1.0,35.5,108116615.0,2.15,50975903.0,12.879721,121.774017
555,Werever2morro,16600000,2798273962,Entertainment,werever2morro,0,Mexico,MX,Games,4057944.0,4248.0,7462.0,,0,0,0,0,,2010.0,Dec,7.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
556,IDEAS EN 5 MINUTOS,16600000,3696973456,Howto & Style,Ideas En 5 Minutos,216,Spain,ES,,3108857.0,2753.0,,65470.0,16,262,196,3100,,2017.0,Apr,2.0,88.9,47076781.0,13.96,37927409.0,40.463667,-3.74922
557,NMF News,16600000,7435180827,News & Politics,NMF News,112261,India,IN,News,749.0,91.0,12.0,59201000.0,14800,236800,177600,2800000,100000.0,2013.0,Oct,22.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
558,SriBalajiMovies,16600000,9439857193,Entertainment,SriBalajiMovies,20102,India,IN,Entertainment,497.0,91.0,132.0,154049000.0,38500,616200,462100,7400000,200000.0,2011.0,Sep,29.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
559,Lahari Music - TSeries,16600000,11946217860,Music,Lahari Music - TSeries,8976,India,IN,Music,326.0,91.0,115.0,89012000.0,22300,356000,267000,4300000,100000.0,2011.0,Nov,21.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
560,Younes Zarou,16600000,15278668857,Entertainment,Younes Zarou,2200,Germany,DE,Entertainment,213.0,4.0,131.0,617257000.0,154300,2500000,1900000,29600000,900000.0,2021.0,May,6.0,70.2,83132799.0,3.04,64324835.0,51.165691,10.451526
561,Jordan Matter,16600000,5819508534,Entertainment,Jordan Matter,413,United States,US,Entertainment,1088.0,136.0,132.0,199033000.0,49800,796100,597100,9600000,300000.0,2006.0,Dec,21.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
562,�������� ����������������������,16500000,2440934034,Entertainment,�������� ����������������������,421,United States,US,Entertainment,3778.0,137.0,133.0,21953000.0,5500,87800,65900,1100000,200000.0,2014.0,Mar,9.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
563,FailArmy,16500000,3037260680,Comedy,FailArmy,438,United States,US,Entertainment,2766.0,137.0,133.0,112986000.0,28200,451900,339000,5400000,100000.0,2011.0,Jul,5.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
564,BBC News Hindi,16500000,7043235131,News & Politics,BBC News Hindi,21243,India,IN,News,821.0,92.0,13.0,131202000.0,32800,524800,393600,6300000,300000.0,2009.0,Sep,22.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
565,FunFun Toy Doll TV,16500000,7406207930,Entertainment,FunFun Toy Doll TV,735,United States,US,Entertainment,757.0,137.0,133.0,24378000.0,6100,97500,73100,1200000,,2016.0,May,31.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
566,Sandra Cires Art,16400000,3955426159,Howto & Style,Sandra Cires Art,1091,United States,US,Entertainment,1938.0,138.0,134.0,18028000.0,4500,72100,54100,865300,,2011.0,Sep,27.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
567,Kaykai Salaider,16400000,4434679706,Comedy,Kaykai Salaider,428,Thailand,TH,Entertainment,1636.0,9.0,134.0,9341000.0,2300,37400,28000,448400,,2011.0,Jan,24.0,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541
568,UFC - Ultimate Fighting Championship,16400000,7135820721,Sports,UFC - Ultimate Fighting Championship,14662,United States,US,Sports,806.0,138.0,7.0,133208000.0,33300,532800,399600,6400000,100000.0,2006.0,Mar,4.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
569,Ch7HD,16400000,9463244435,Entertainment,Ch7HD,56203,Thailand,TH,Entertainment,496.0,9.0,134.0,87757000.0,21900,351000,263300,4200000,100000.0,2010.0,May,17.0,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541
570,RCTI - LAYAR DRAMA INDONESIA,16400000,13478392540,Entertainment,RCTI - LAYAR DRAMA INDONESIA,1,,,People,4057943.0,,7724.0,,0,0,0,0,,2020.0,Oct,19.0,,,,,,
571,Alfredo Larin,16400000,14431830557,Entertainment,Alfredo Larin,1,,,Entertainment,4057780.0,,6788.0,1.0,0,0,0,0,,2015.0,Nov,23.0,,,,,,
572,GMMTV OFFICIAL��,16400000,12844432341,Entertainment,GMMTV OFFICIAL��,23952,Thailand,TH,Entertainment,294.0,9.0,134.0,181382000.0,45300,725500,544100,8700000,200000.0,2010.0,Sep,13.0,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541
573,Matt Stonie,16300000,3527627264,Entertainment,MattStonie,54,United States,US,Entertainment,283499.0,1874.0,1836.0,29735.0,7,119,89,1400,,2010.0,Jun,19.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
574,Boyce Avenue,16300000,6578828147,Music,Boyce Avenue,490,United States,US,Music,913.0,139.0,117.0,28787000.0,7200,115100,86400,1400000,,2007.0,Sep,2.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
575,Camila Cabello,16300000,6613422635,Music,Camila Cabello,80,United States,US,Music,906.0,139.0,117.0,42704000.0,10700,170800,128100,2000000,100000.0,2015.0,Aug,11.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
576,Little Mix,16300000,7520242626,Music,Little Mix,278,United Kingdom,GB,Music,740.0,22.0,117.0,38604000.0,9700,154400,115800,1900000,,2011.0,Nov,30.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
577,SAM SMITH,16300000,10170264839,Music,SAM SMITH,230,United Kingdom,GB,Entertainment,428.0,22.0,135.0,85778000.0,21400,343100,257300,4100000,,2012.0,Sep,14.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
578,Pitbull,16300000,12475714382,Music,Pitbull,352,United States,US,Music,308.0,139.0,117.0,88004000.0,22000,352000,264000,4200000,,2006.0,Jul,5.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
579,Bollywood Classics,16300000,7141825267,Entertainment,Bollywood Classics,1444,India,IN,Music,804.0,93.0,116.0,151477000.0,37900,605900,454400,7300000,300000.0,2011.0,Oct,13.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
580,Technoblade,16300000,1656452554,Gaming,Technoblade,989,United States,US,Games,6274.0,138.0,40.0,17944000.0,4500,71800,53800,861300,200000.0,2013.0,Oct,28.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
581,W2S,16300000,4768370464,Gaming,W2S,652,United Kingdom,GB,Entertainment,1455.0,22.0,135.0,3079000.0,770,12300,9200,147800,,2012.0,Jul,26.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
582,Jennifer Lopez,16200000,10227242833,Music,Jennifer Lopez,258,United States,US,Music,426.0,140.0,118.0,63441000.0,15900,253800,190300,3000000,,2005.0,Nov,18.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
583,Kids Play,16200000,8091706232,Entertainment,Kids Play,593,United States,US,Entertainment,636.0,140.0,136.0,25912000.0,6500,103600,77700,1200000,,2018.0,May,14.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
584,T3ddy,16200000,2990185467,Comedy,T3ddy,1930,Brazil,BR,People,2898.0,31.0,38.0,33015000.0,8300,132100,99000,1600000,100000.0,2012.0,Jan,16.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
585,JJ Olatunji,16200000,4076692623,Gaming,JJ Olatunji,1294,United Kingdom,GB,Entertainment,1856.0,23.0,136.0,27808000.0,7000,111200,83400,1300000,100000.0,2011.0,Jan,26.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
586,POPS Kids,16200000,9763592867,Music,POPS Kids,3943,Vietnam,VN,Film,462.0,2.0,30.0,256733000.0,64200,1000000,770200,12300000,200000.0,2014.0,Jan,14.0,28.5,96462106.0,2.01,35332140.0,14.058324,108.277199
587,Thairath Online,16200000,14563841315,News & Politics,Thairath Online,244899,Thailand,TH,News,238.0,10.0,14.0,224756000.0,56200,899000,674300,10800000,100000.0,2010.0,Sep,27.0,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541
588,LEGO,16200000,20522339099,Entertainment,LEGO,31889,Singapore,SG,Entertainment,116.0,1.0,136.0,117209000.0,29300,468800,351600,5600000,200000.0,2005.0,Oct,22.0,84.8,5703569.0,4.11,5703569.0,1.352083,103.819836
589,XO TEAM,16200000,14784781923,People & Blogs,XO TEAM Family,189,United States,US,People,153622.0,1776.0,1495.0,37911.0,9,152,114,1800,1000.0,2020.0,Sep,12.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
590,AdMe,16200000,4488680903,Entertainment,Aday C�����,10,Spain,ES,Music,4048675.0,4228.0,5766.0,4.0,0,0,0,0,,2006.0,May,2.0,88.9,47076781.0,13.96,37927409.0,40.463667,-3.74922
591,ExtraPolinesios,16200000,4813127504,People & Blogs,Extra polinesios,2,,,People,3945744.0,,7359.0,510.0,0,2,2,24,1.0,2015.0,Nov,21.0,,,,,,
592,Dyland PROS,16100000,1517638132,Entertainment,Dyland PROS,2805,Indonesia,ID,Games,6986.0,21.0,41.0,9619000.0,2400,38500,28900,461700,,2015.0,Jan,28.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
593,Live,16100000,0,,Live,0,,,,4057944.0,,,,0,0,0,0,,2015.0,Jan,13.0,,,,,,
594,Vlad and Niki ARA,16100000,7399296005,,Vlad and Niki ARA,510,United States,US,Entertainment,759.0,141.0,137.0,32011000.0,8000,128000,96000,1500000,100000.0,2019.0,May,24.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
595,Canal IN,16100000,2687443643,People & Blogs,Canal IN,723,Brazil,BR,Entertainment,3338.0,32.0,137.0,13802000.0,3500,55200,41400,662500,,2017.0,Jul,21.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
596,TWICE,16100000,5055576881,Music,TWICE,1123,,,Music,1343.0,,119.0,98720000.0,24700,394900,296200,4700000,100000.0,2016.0,Mar,27.0,,,,,,
597,Daily Dose Of Internet,16100000,6872702790,Entertainment,Daily Dose Of Internet,671,United States,US,Entertainment,851.0,140.0,136.0,399807000.0,100000,1600000,1200000,19200000,300000.0,2015.0,Jul,15.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
598,FitDance,16100000,7126210721,Music,Fitdance Academy,41,France,FR,Entertainment,4006012.0,3726.0,6335.0,780.0,0,3,2,37,4.0,2006.0,Nov,20.0,65.6,67059887.0,8.43,54123364.0,46.227638,2.213749
599,Panda Shorts,16100000,7155736006,,Panda Shorts,667,Sweden,SE,Sports,792.0,2.0,8.0,478528000.0,119600,1900000,1400000,23000000,3000000.0,2020.0,Nov,21.0,67.0,10285453.0,6.48,9021165.0,60.128161,18.643501
600,Disney Junior,16100000,15812009296,Entertainment,Disney Junior,4045,United States,US,Entertainment,196.0,140.0,136.0,267131000.0,66800,1100000,801400,12800000,300000.0,2008.0,Apr,22.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
601,La Rosa de Guadalupe,16100000,9642146451,Entertainment,larosadeguadalupe,0,Mexico,MX,Games,4057944.0,4258.0,7472.0,,0,0,0,0,,2008.0,Sep,3.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
602,sagar kalra (Shorts),16000000,6543629679,People & Blogs,sagar kalra (Shorts),453,,,People,921.0,,39.0,74062000.0,18500,296200,222200,3600000,200000.0,2017.0,Jun,30.0,,,,,,
603,wifistudy,16000000,3018032423,Education,wifistudy by Unacademy,52144,India,IN,Education,2855.0,94.0,30.0,14287000.0,3600,57100,42900,685800,,2014.0,Jul,26.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
604,Antrax,16000000,3029872908,Gaming,Antrax,687,Mexico,MX,Games,2844.0,23.0,42.0,4698000.0,1200,18800,14100,225500,,2015.0,May,25.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
605,Enes Batur,16000000,9786595271,Gaming,enesbatur,0,,,Games,4057944.0,,7360.0,,0,0,0,0,11.0,2007.0,Mar,4.0,,,,,,
606,Totoy kids - Espa��,16000000,5997599089,Film & Animation,Totoy kids - Espa��,344,Mexico,MX,Film,1048.0,23.0,31.0,112393000.0,28100,449600,337200,5400000,200000.0,2017.0,Sep,7.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
607,����������,15900000,1845329502,People & Blogs,Kung Fu Padla,0,Russia,RU,Games,4057944.0,3309.0,5665.0,,0,0,0,0,10.0,2017.0,May,27.0,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756
608,DopeLyrics,15900000,9962188084,Music,DopeLyrics,2035,United States,US,Music,444.0,142.0,120.0,9915000.0,2500,39700,29700,475900,,2016.0,Jun,9.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
609,jeffreestar,15900000,2609358468,Howto & Style,jeffreestar,433,United States,US,Howto,3474.0,142.0,20.0,2006000.0,502,8000,6000,96300,,2006.0,Feb,14.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
610,Lyna,15900000,6534326412,Gaming,Lyna,4906,Argentina,AR,Games,919.0,12.0,43.0,64085000.0,16000,256300,192300,3100000,200000.0,2014.0,Sep,8.0,90.0,44938712.0,9.79,41339571.0,-38.416097,-63.616672
611,MK MUSIC,15900000,9198986881,Music,MK MUSIC,5105,Brazil,BR,Music,516.0,33.0,120.0,136388000.0,34100,545600,409200,6500000,100000.0,2010.0,Jan,18.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
612,Unspeakable,15900000,9052367553,Gaming,Unspeakable,796,United States,US,People,530.0,142.0,40.0,164895000.0,41200,659600,494700,7900000,200000.0,2016.0,May,1.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
613,Camilo,15900000,6802382479,Music,Camilo,132,Colombia,CO,Music,871.0,8.0,120.0,59890000.0,15000,239600,179700,2900000,100000.0,2010.0,Jul,29.0,55.3,50339443.0,9.71,40827302.0,4.570868,-74.297333
614,Dear Sir,15800000,1349288771,Education,Dear Sir,633,India,IN,Education,8066.0,95.0,31.0,24056000.0,6000,96200,72200,1200000,200000.0,2016.0,Dec,13.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
615,Narendra Modi,15800000,3392918989,News & Politics,Narendra Modi,20679,India,IN,News,2406.0,96.0,15.0,185969000.0,46500,743900,557900,8900000,700000.0,2007.0,Oct,26.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
616,Arif muhammad,15800000,4122634467,People & Blogs,Arif muhammad,542,Indonesia,ID,Comedy,1816.0,22.0,26.0,71870000.0,18000,287500,215600,3400000,100000.0,2017.0,Jan,18.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
617,Rotten Tomatoes Trailers,15800000,13116313599,Film & Animation,Rotten Tomatoes Trailers,10441,United States,US,Film,285.0,143.0,32.0,25738000.0,6400,103000,77200,1200000,100000.0,2011.0,Apr,1.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
618,Volga Video,15700000,9787697838,Film & Animation,Volga Video,16874,India,IN,Entertainment,463.0,97.0,139.0,51315000.0,12800,205300,153900,2500000,,2012.0,Mar,23.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
619,DM - Desi Melodies,15700000,5914071870,Music,DM - Desi Melodies,79,India,IN,Music,1071.0,97.0,121.0,141842000.0,35500,567400,425500,6800000,300000.0,2017.0,Jul,8.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
620,MY FAMILY,15700000,6153495609,,My Family,150,Singapore,SG,People,731590.0,1203.0,3244.0,939647.0,235,3800,2800,45100,800.0,2019.0,Dec,3.0,84.8,5703569.0,4.11,5703569.0,1.352083,103.819836
621,Team Films Bhojpuri,15700000,6626563508,Music,Team Films Bhojpuri,19703,India,IN,Music,902.0,97.0,121.0,30744000.0,7700,123000,92200,1500000,,2014.0,Jul,18.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
622,Zee Music Classic,15700000,5558051295,Music,Zee Music Classic,1640,India,IN,Music,1174.0,97.0,121.0,86450000.0,21600,345800,259300,4100000,100000.0,2014.0,May,20.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
623,Prime Video India,15700000,8696631898,Entertainment,Prime Video India,7090,United States,US,Entertainment,569.0,144.0,139.0,335111000.0,83800,1300000,1000000,16100000,1200000.0,2016.0,Oct,3.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
624,Caeli YT,15600000,1511794214,Entertainment,Caeli YT,483,Mexico,MX,Entertainment,7440.0,24.0,140.0,62551000.0,0,0,0,0,,2010.0,Sep,22.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
625,Kuplinov ���,15600000,6862529416,Gaming,Kuplinov ���,6623,,,Games,863.0,,44.0,98660000.0,24700,394600,296000,4700000,200000.0,2012.0,Dec,23.0,,,,,,
626,Linus Tech Tips,15600000,7172386509,Science & Technology,Linus Tech Tips,6542,Canada,CA,Tech,802.0,7.0,11.0,88224000.0,22100,352900,264700,4200000,100000.0,2008.0,Nov,25.0,68.9,36991981.0,5.56,30628482.0,56.130366,-106.346771
627,Juliana Baltar,15600000,3869457097,Entertainment,Juliana Baltar,2019,Brazil,BR,Entertainment,2002.0,34.0,140.0,56218000.0,14100,224900,168700,2700000,100000.0,2010.0,May,9.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
628,5-Minute Crafts FAMILY,15600000,6165757696,People & Blogs,5-Minute Crafts FAMILY,4245,United States,US,Howto,1005.0,145.0,21.0,27382000.0,6800,109500,82100,1300000,,2018.0,Dec,13.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
629,Blippi Espa��,15500000,8984089026,People & Blogs,Blippi Espa��,598,Mexico,MX,Education,538.0,24.0,32.0,90012000.0,22500,360000,270000,4300000,100000.0,2017.0,Jan,13.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
630,Super Senya,15500000,5070970714,Entertainment,Super Senya,0,,,,4057944.0,,,,0,0,0,0,,2017.0,Jul,27.0,,,,,,
631,Katakit Baby TV,15500000,6386271870,Music,Katakit Baby TV,220,Saudi Arabia,SA,Music,954.0,4.0,122.0,90914000.0,22700,363700,272700,4400000,200000.0,2010.0,Jul,26.0,68.0,34268528.0,5.93,28807838.0,23.885942,45.079162
632,Infobells Bangla,15500000,7776706184,Education,Infobells Bangla,359,India,IN,Education,687.0,98.0,32.0,167888000.0,42000,671600,503700,8100000,300000.0,2016.0,Jun,13.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
633,�������� �� ��������,15500000,8265129639,Shows,�������� �� ��������,1021,Saudi Arabia,SA,Film,619.0,4.0,33.0,135036000.0,33800,540100,405100,6500000,300000.0,2017.0,May,16.0,68.0,34268528.0,5.93,28807838.0,23.885942,45.079162
634,Henrique e Juliano,15500000,14619523361,Music,Henrique e Juliano,325,Brazil,BR,Music,236.0,35.0,123.0,163678000.0,40900,654700,491000,7900000,,2009.0,Jun,27.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
635,Mr DegrEE,15500000,12880388253,Science & Technology,MrDegree,0,United States,US,Entertainment,4057944.0,5048.0,4453.0,,0,0,0,0,10.0,2016.0,Mar,2.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
636,Kashvi Adlakha,15500000,12714141740,Entertainment,Kashvi Adlakha,1525,India,IN,Entertainment,300.0,99.0,141.0,139123000.0,34800,556500,417400,6700000,200000.0,2017.0,Apr,9.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
637,Talking Tom & Friends,15500000,6396049701,Entertainment,Talking Tom & Friends,417,United States,US,Film,956.0,146.0,34.0,27375000.0,6800,109500,82100,1300000,,2010.0,Oct,14.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
638,�������� �������������� ���� 5 ����������,15500000,4499826716,Howto & Style,�������� �������������� ���� 5 ����������,5183,Egypt,EG,Howto,1597.0,1.0,22.0,32916000.0,8200,131700,98700,1600000,100000.0,2017.0,Dec,8.0,35.2,100388073.0,10.76,42895824.0,26.820553,30.802498
639,Harsh Beniwal,15400000,1781226000,Comedy,Harsh Beniwal,165,India,IN,Comedy,5724.0,100.0,27.0,27963000.0,7000,111900,83900,1300000,100000.0,2015.0,May,6.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
640,FFUNTV,15400000,11513738907,Gaming,FFUNTV,379,United Arab Emirates,AE,Entertainment,349.0,6.0,141.0,80172000.0,20000,320700,240500,3800000,200000.0,2018.0,Jul,18.0,36.8,9770529.0,2.35,8479744.0,23.424076,53.847818
641,Mobile Legends: Bang Bang,15400000,1543608082,Gaming,Mobile Legends: Bang Bang,1647,United States,US,Games,6793.0,147.0,45.0,55369000.0,13800,221500,166100,2700000,100000.0,2016.0,Jul,14.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
642,Roman Atwood Vlogs,15400000,5469103954,People & Blogs,Roman Atwood Vlogs,1756,United States,US,People,1201.0,147.0,42.0,1583000.0,396,6300,4700,76000,,2013.0,Aug,12.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
